Mod:Item:MetaData, Localized Name
projectred-transmission:wire:8, Grey Insulated Wire
projectred-transmission:wire:9, Light Grey Insulated Wire
projectred-transmission:wire:10, Cyan Insulated Wire
projectred-transmission:wire:11, Purple Insulated Wire
projectred-transmission:wire:12, Blue Insulated Wire
projectred-transmission:wire:13, Brown Insulated Wire
projectred-transmission:wire:14, Green Insulated Wire
projectred-transmission:wire:15, Red Insulated Wire
projectred-transmission:wire:16, Black Insulated Wire
projectred-transmission:wire:17, Bundled Cable
projectred-transmission:wire:18, White Bundled Cable
projectred-transmission:wire:19, Orange Bundled Cable
projectred-transmission:wire:20, Magenta Bundled Cable
projectred-transmission:wire:21, Light Blue Bundled Cable
projectred-transmission:wire:22, Yellow Bundled Cable
projectred-transmission:wire:23, Lime Bundled Cable
projectred-transmission:wire:24, Pink Bundled Cable
projectred-transmission:wire:25, Grey Bundled Cable
projectred-transmission:wire:26, Light Grey Bundled Cable
projectred-transmission:wire:27, Cyan Bundled Cable
projectred-transmission:wire:28, Purple Bundled Cable
projectred-transmission:wire:29, Blue Bundled Cable
projectred-transmission:wire:30, Brown Bundled Cable
projectred-transmission:wire:31, Green Bundled Cable
projectred-transmission:wire:32, Red Bundled Cable
projectred-transmission:wire:33, Black Bundled Cable
projectred-transmission:wire:34, Low Load Power Line
projectred-transmission:framed_wire:0, Framed Red Alloy Wire
projectred-transmission:framed_wire:1, Framed White Insulated Wire
projectred-transmission:framed_wire:2, Framed Orange Insulated Wire
projectred-transmission:framed_wire:3, Framed Magenta Insulated Wire
projectred-transmission:framed_wire:4, Framed Light Blue Insulated Wire
projectred-transmission:framed_wire:5, Framed Yellow Insulated Wire
projectred-transmission:framed_wire:6, Framed Lime Insulated Wire
projectred-transmission:framed_wire:7, Framed Pink Insulated Wire
projectred-transmission:framed_wire:8, Framed Grey Insulated Wire
projectred-transmission:framed_wire:9, Framed Light Grey Insulated Wire
projectred-transmission:framed_wire:10, Framed Cyan Insulated Wire
projectred-transmission:framed_wire:11, Framed Purple Insulated Wire
projectred-transmission:framed_wire:12, Framed Blue Insulated Wire
projectred-transmission:framed_wire:13, Framed Brown Insulated Wire
projectred-transmission:framed_wire:14, Framed Green Insulated Wire
projectred-transmission:framed_wire:15, Framed Red Insulated Wire
projectred-transmission:framed_wire:16, Framed Black Insulated Wire
projectred-transmission:framed_wire:17, Framed Bundled Cable
projectred-transmission:framed_wire:34, Framed Low Load Power Line
projectred-fabrication:ic_machine:0, IC Workbench
projectred-fabrication:ic_machine:1, IC Printer
projectred-fabrication:ic_blueprint, IC Blueprint
projectred-fabrication:ic_chip:0, IC Chip
projectred-fabrication:ic_chip:1, Creative Mode IC Chip
realistictorches:torch_unlit, Unlit Torch
realistictorches:torch_lit, Lit Torch
realistictorches:torch_smoldering, Smoldering Torch
realistictorches:moving_light_source, Moving Light Source
realistictorches:matchbox, Matchbox
realistictorches:glowstone_crystal, Glowstone Crystal
realistictorches:glowstone_paste, Glowstone Paste
sereneseasons:greenhouse_glass:0, Greenhouse Glass
sereneseasons:season_sensor_spring:0, Season Sensor
sereneseasons:season_sensor_summer:0, Season Sensor
sereneseasons:season_sensor_autumn:0, Season Sensor
sereneseasons:season_sensor_winter:0, Season Sensor
sereneseasons:ss_icon, SS Icon
sereneseasons:season_clock, Season Clock
tanaddons:temp_regulator, Temperature Regulator
tanaddons:portable_temp_regulator, Portable Temperature Regulator
tanaddons:thirst_quencher, Thirst Quencher
forge:bucketfilled, %s Bucket
animalium:wild_dog_pelt, Wild Dog Pelt
animalium:bear_meat, Raw Bear Meat
animalium:bear_meat_cooked, Cooked Bear Meat
animalium:bear_claw, Bear Claw
animalium:bear_claw_paxel, Bear Claw Paxel
animalium:rat_meat, Raw Rat Meat
animalium:rat_meat_cooked, Cooked Rat Meat
animalium:dog_boots, Wild Dog Pelt Boots
appliedenergistics2:matrix_frame, Matrix Frame
appliedenergistics2:quartz_block, Certus Quartz Block
appliedenergistics2:quartz_pillar, Certus Quartz Pillar
appliedenergistics2:chiseled_quartz_block, Chiseled Certus Quartz Block
appliedenergistics2:quartz_glass, Quartz Glass
appliedenergistics2:quartz_vibrant_glass, Vibrant Quartz Glass
appliedenergistics2:quartz_fixture, Charged Quartz Fixture
appliedenergistics2:fluix_block, Fluix Block
appliedenergistics2:sky_stone_block, Sky Stone
appliedenergistics2:smooth_sky_stone_block, Sky Stone Block
appliedenergistics2:sky_stone_brick, Sky Stone Brick
appliedenergistics2:sky_stone_small_brick, Sky Stone Small Brick
appliedenergistics2:grindstone, Quartz Grindstone
appliedenergistics2:crank, Wooden Crank
appliedenergistics2:wireless_access_point, ME Wireless Access Point
appliedenergistics2:tiny_tnt, Tiny TNT
appliedenergistics2:security_station, ME Security Terminal
appliedenergistics2:quantum_ring, ME Quantum Ring
appliedenergistics2:quantum_link, ME Quantum Link Chamber
appliedenergistics2:spatial_pylon, Spatial Pylon
appliedenergistics2:spatial_io_port, Spatial IO Port
appliedenergistics2:drive, ME Drive
appliedenergistics2:chest, ME Chest
appliedenergistics2:interface, ME Interface
appliedenergistics2:fluid_interface, ME Fluid Interface
appliedenergistics2:cell_workbench, Cell Workbench
appliedenergistics2:io_port, ME IO Port
appliedenergistics2:condenser, Matter Condenser
appliedenergistics2:energy_acceptor, Energy Acceptor
appliedenergistics2:crafting_unit, Crafting Unit
appliedenergistics2:crafting_accelerator, Crafting Co-Processing Unit
appliedenergistics2:crafting_storage_1k, 1k Crafting Storage
appliedenergistics2:crafting_storage_4k, 4k Crafting Storage
appliedenergistics2:crafting_storage_16k, 16k Crafting Storage
appliedenergistics2:crafting_storage_64k, 64k Crafting Storage
appliedenergistics2:crafting_monitor, Crafting Monitor
appliedenergistics2:molecular_assembler, Molecular Assembler
appliedenergistics2:light_detector, Light Detecting Fixture
appliedenergistics2:paint, tile.appliedenergistics2.paint.name
appliedenergistics2:sky_stone_stairs, Sky Stone Stairs
appliedenergistics2:smooth_sky_stone_stairs, Sky Stone Block Stairs
appliedenergistics2:sky_stone_brick_stairs, Sky Stone Brick Stairs
appliedenergistics2:sky_stone_small_brick_stairs, Sky Stone Small Brick Stairs
appliedenergistics2:fluix_stairs, Fluix Stairs
appliedenergistics2:quartz_stairs, Certus Quartz Stairs
appliedenergistics2:chiseled_quartz_stairs, Chiseled Certus Quartz Stairs
appliedenergistics2:quartz_pillar_stairs, Certus Quartz Pillar Stairs
appliedenergistics2:cable_bus, AE2 Cable and/or Bus
appliedenergistics2:sky_stone_slab:0, Sky Stone Slabs
appliedenergistics2:smooth_sky_stone_slab:0, Sky Stone Block Slabs
appliedenergistics2:sky_stone_brick_slab:0, Sky Stone Brick Slabs
appliedenergistics2:sky_stone_small_brick_slab:0, Sky Stone Small Brick Slabs
appliedenergistics2:fluix_slab:0, Fluix Slabs
appliedenergistics2:quartz_slab:0, Certus Quartz Slabs
appliedenergistics2:chiseled_quartz_slab:0, Chiseled Certus Quartz Slabs
appliedenergistics2:quartz_pillar_slab:0, Certus Quartz Pillar Slabs
appliedenergistics2:wireless_terminal, Wireless Terminal
appliedenergistics2:portable_cell, Portable Cell
appliedenergistics2:color_applicator, Color Applicator
appliedenergistics2:biometric_card, Biometric Card
appliedenergistics2:memory_card, Memory Card
appliedenergistics2:network_tool, Network Tool
appliedenergistics2:view_cell, View Cell
appliedenergistics2:storage_cell_1k, 1k ME Storage Cell
appliedenergistics2:storage_cell_4k, 4k ME Storage Cell
appliedenergistics2:storage_cell_16k, 16k ME Storage Cell
appliedenergistics2:storage_cell_64k, 64k ME Storage Cell
appliedenergistics2:fluid_storage_cell_1k, 1k ME Fluid Storage Cell
appliedenergistics2:fluid_storage_cell_4k, 4k ME Fluid Storage Cell
appliedenergistics2:fluid_storage_cell_16k, 16k ME Fluid Storage Cell
appliedenergistics2:fluid_storage_cell_64k, 64k ME Fluid Storage Cell
appliedenergistics2:spatial_storage_cell_2_cubed, 2³ Spatial Storage Cell
appliedenergistics2:spatial_storage_cell_16_cubed, 16³ Spatial Storage Cell
appliedenergistics2:spatial_storage_cell_128_cubed, 128³ Spatial Storage Cell
appliedenergistics2:encoded_pattern, Encoded Pattern
appliedenergistics2:paint_ball:0, Paint Ball - White
appliedenergistics2:paint_ball:1, Paint Ball - Orange
appliedenergistics2:paint_ball:2, Paint Ball - Magenta
appliedenergistics2:paint_ball:3, Paint Ball - Light Blue
appliedenergistics2:paint_ball:4, Paint Ball - Yellow
appliedenergistics2:paint_ball:5, Paint Ball - Lime
appliedenergistics2:paint_ball:6, Paint Ball - Pink
appliedenergistics2:paint_ball:7, Paint Ball - Gray
appliedenergistics2:paint_ball:8, Paint Ball - Light Gray
appliedenergistics2:paint_ball:9, Paint Ball - Cyan
appliedenergistics2:paint_ball:10, Paint Ball - Purple
appliedenergistics2:paint_ball:11, Paint Ball - Blue
appliedenergistics2:paint_ball:12, Paint Ball - Brown
appliedenergistics2:paint_ball:13, Paint Ball - Green
appliedenergistics2:paint_ball:14, Paint Ball - Red
appliedenergistics2:paint_ball:15, Paint Ball - Black
appliedenergistics2:paint_ball:20, Paint Ball - Lumen White
appliedenergistics2:paint_ball:21, Paint Ball - Lumen Orange
appliedenergistics2:paint_ball:22, Paint Ball - Lumen Magenta
appliedenergistics2:paint_ball:23, Paint Ball - Lumen Light Blue
appliedenergistics2:paint_ball:24, Paint Ball - Lumen Yellow
appliedenergistics2:paint_ball:25, Paint Ball - Lumen Lime
appliedenergistics2:paint_ball:26, Paint Ball - Lumen Pink
appliedenergistics2:paint_ball:27, Paint Ball - Lumen Gray
appliedenergistics2:paint_ball:28, Paint Ball - Lumen Light Gray
appliedenergistics2:paint_ball:29, Paint Ball - Lumen Cyan
appliedenergistics2:paint_ball:30, Paint Ball - Lumen Purple
appliedenergistics2:paint_ball:31, Paint Ball - Lumen Blue
appliedenergistics2:paint_ball:32, Paint Ball - Lumen Brown
appliedenergistics2:paint_ball:33, Paint Ball - Lumen Green
appliedenergistics2:paint_ball:34, Paint Ball - Lumen Red
appliedenergistics2:paint_ball:35, Paint Ball - Lumen Black
appliedenergistics2:dummy_fluid_item, item.appliedenergistics2.dummy_fluid_item.name
appliedenergistics2:material:28, Advanced Card
appliedenergistics2:material:44, Annihilation Core
appliedenergistics2:material:25, Basic Card
appliedenergistics2:material:52, Blank Pattern
appliedenergistics2:material:23, Calculation Processor
appliedenergistics2:material:13, Inscriber Calculation Press
appliedenergistics2:material:16, Printed Calculation Circuit
appliedenergistics2:material:27, Capacity Card
appliedenergistics2:material:53, Crafting Card
appliedenergistics2:material:29, Fuzzy Card
appliedenergistics2:material:31, Inverter Card
appliedenergistics2:material:26, Redstone Card
appliedenergistics2:material:30, Acceleration Card
appliedenergistics2:material:34, 128³ Spatial Component
appliedenergistics2:material:37, 16k ME Storage Component
appliedenergistics2:material:33, 16³ Spatial Component
appliedenergistics2:material:35, 1k ME Storage Component
appliedenergistics2:material:32, 2³ Spatial Component
appliedenergistics2:material:36, 4k ME Storage Component
appliedenergistics2:material:38, 64k ME Storage Component
appliedenergistics2:material:0, Certus Quartz Crystal
appliedenergistics2:material:1, Charged Certus Quartz Crystal
appliedenergistics2:material:39, ME Storage Housing
appliedenergistics2:material:46, Ender Dust
appliedenergistics2:material:24, Engineering Processor
appliedenergistics2:material:14, Inscriber Engineering Press
appliedenergistics2:material:17, Printed Engineering Circuit
appliedenergistics2:material:4, Flour
appliedenergistics2:material:56, 16k ME Fluid Storage Component
appliedenergistics2:material:54, 1k ME Fluid Storage Component
appliedenergistics2:material:55, 4k ME Fluid Storage Component
appliedenergistics2:material:57, 64k ME Fluid Storage Component
appliedenergistics2:material:7, Fluix Crystal
appliedenergistics2:material:9, Fluix Pearl
appliedenergistics2:material:43, Formation Core
appliedenergistics2:material:22, Logic Processor
appliedenergistics2:material:15, Inscriber Logic Press
appliedenergistics2:material:18, Printed Logic Circuit
appliedenergistics2:material:6, Matter Ball
appliedenergistics2:material:21, Inscriber Name Press
appliedenergistics2:material:10, Pure Certus Quartz Crystal
appliedenergistics2:material:12, Pure Fluix Crystal
appliedenergistics2:material:11, Pure Nether Quartz Crystal
appliedenergistics2:material:48, Quantum Entangled Singularity
appliedenergistics2:material:5, Silicon
appliedenergistics2:material:19, Inscriber Silicon Press
appliedenergistics2:material:20, Printed Silicon
appliedenergistics2:material:47, Singularity
appliedenergistics2:material:41, Wireless Receiver
appliedenergistics2:material:42, Wireless Booster
appliedenergistics2:material:40, Wooden Gear
appliedenergistics2:part:300, ME Annihilation Plane
appliedenergistics2:part:120, Cable Anchor
appliedenergistics2:part:20, ME Covered Cable - White
appliedenergistics2:part:21, ME Covered Cable - Orange
appliedenergistics2:part:22, ME Covered Cable - Magenta
appliedenergistics2:part:23, ME Covered Cable - Light Blue
appliedenergistics2:part:24, ME Covered Cable - Yellow
appliedenergistics2:part:25, ME Covered Cable - Lime
appliedenergistics2:part:26, ME Covered Cable - Pink
appliedenergistics2:part:27, ME Covered Cable - Gray
appliedenergistics2:part:28, ME Covered Cable - Light Gray
appliedenergistics2:part:29, ME Covered Cable - Cyan
appliedenergistics2:part:30, ME Covered Cable - Purple
appliedenergistics2:part:31, ME Covered Cable - Blue
appliedenergistics2:part:32, ME Covered Cable - Brown
appliedenergistics2:part:33, ME Covered Cable - Green
appliedenergistics2:part:34, ME Covered Cable - Red
appliedenergistics2:part:35, ME Covered Cable - Black
appliedenergistics2:part:36, ME Covered Cable - Fluix
appliedenergistics2:part:0, ME Glass Cable - White
appliedenergistics2:part:1, ME Glass Cable - Orange
appliedenergistics2:part:2, ME Glass Cable - Magenta
appliedenergistics2:part:3, ME Glass Cable - Light Blue
appliedenergistics2:part:4, ME Glass Cable - Yellow
appliedenergistics2:part:5, ME Glass Cable - Lime
appliedenergistics2:part:6, ME Glass Cable - Pink
appliedenergistics2:part:7, ME Glass Cable - Gray
appliedenergistics2:part:8, ME Glass Cable - Light Gray
appliedenergistics2:part:9, ME Glass Cable - Cyan
appliedenergistics2:part:10, ME Glass Cable - Purple
appliedenergistics2:part:11, ME Glass Cable - Blue
appliedenergistics2:part:12, ME Glass Cable - Brown
appliedenergistics2:part:13, ME Glass Cable - Green
appliedenergistics2:part:14, ME Glass Cable - Red
appliedenergistics2:part:15, ME Glass Cable - Black
appliedenergistics2:part:16, ME Glass Cable - Fluix
appliedenergistics2:part:420, ME Conversion Monitor
appliedenergistics2:part:360, ME Crafting Terminal
appliedenergistics2:part:200, Dark Illuminated Panel
appliedenergistics2:part:260, ME Export Bus
appliedenergistics2:part:302, ME Fluid Annihilation Plane
appliedenergistics2:part:261, ME Fluid Export Bus
appliedenergistics2:part:321, ME Fluid Formation Plane
appliedenergistics2:part:241, ME Fluid Import Bus
appliedenergistics2:part:441, ME Fluid Interface
appliedenergistics2:part:281, ME Fluid Level Emitter
appliedenergistics2:part:221, ME Fluid Storage Bus
appliedenergistics2:part:520, ME Fluid Terminal
appliedenergistics2:part:320, ME Formation Plane
appliedenergistics2:part:301, ME Identity Annihilation Plane
appliedenergistics2:part:240, ME Import Bus
appliedenergistics2:part:440, ME Interface
appliedenergistics2:part:480, ME Interface Terminal
appliedenergistics2:part:100, ME Inverted Toggle Bus
appliedenergistics2:part:280, ME Level Emitter
appliedenergistics2:part:160, Bright Illuminated Panel
appliedenergistics2:part:469, P2P Tunnel - FE
appliedenergistics2:part:463, P2P Tunnel - Fluid
appliedenergistics2:part:462, P2P Tunnel - Item
appliedenergistics2:part:467, P2P Tunnel - Light
appliedenergistics2:part:460, P2P Tunnel - ME
appliedenergistics2:part:461, P2P Tunnel - Redstone
appliedenergistics2:part:340, ME Pattern Terminal
appliedenergistics2:part:140, Quartz Fiber
appliedenergistics2:part:180, Illuminated Panel
appliedenergistics2:part:220, ME Storage Bus
appliedenergistics2:part:400, ME Storage Monitor
appliedenergistics2:part:380, ME Terminal
appliedenergistics2:part:80, ME Toggle Bus
gregtech:machine:1, Small Steam Coal Boiler
gregtech:machine:2, High Pressure Steam Coal Boiler
gregtech:machine:3, Steam Solar Boiler
gregtech:machine:5, Small Steam Lava Boiler
gregtech:machine:6, High Pressure Steam Lava Boiler
gregtech:machine:7, Steam Extractor
gregtech:machine:8, High Pressure Steam Extractor
gregtech:machine:9, Steam Macerator
gregtech:machine:10, High Pressure Steam Macerator
gregtech:machine:11, Steam Compressor
gregtech:machine:12, High Pressure Steam Compressor
gregtech:machine:13, Steam Forge Hammer
gregtech:machine:14, High Pressure Steam Forge Hammer
gregtech:machine:15, Steam Furnace
gregtech:machine:16, High Pressure Steam Furnace
gregtech:machine:17, Steam Alloy Smelter
gregtech:machine:18, High Pressure Steam Alloy Smelter
gregtech:machine:50, Basic Electric Furnace
gregtech:machine:51, Advanced Electric Furnace
gregtech:machine:52, Advanced Electric Furnace II
gregtech:machine:53, Advanced Electric Furnace III
gregtech:machine:60, Basic Macerator
gregtech:machine:61, Advanced Macerator
gregtech:machine:62, Universal Macerator
gregtech:machine:63, Universal Pulverizer
gregtech:machine:70, Basic Alloy Smelter
gregtech:machine:71, Advanced Alloy Smelter
gregtech:machine:72, Advanced Alloy Smelter II
gregtech:machine:73, Advanced Alloy Smelter III
gregtech:machine:80, Basic Amplifabricator
gregtech:machine:81, Advanced Amplifabricator
gregtech:machine:82, Advanced Amplifabricator II
gregtech:machine:83, Advanced Amplifabricator III
gregtech:machine:90, Basic Arc Furnace
gregtech:machine:91, Advanced Arc Furnace
gregtech:machine:92, Advanced Arc Furnace II
gregtech:machine:93, Advanced Arc Furnace III
gregtech:machine:100, Basic Assembling Machine
gregtech:machine:101, Advanced Assembling Machine
gregtech:machine:102, Advanced Assembling Machine II
gregtech:machine:103, Advanced Assembling Machine III
gregtech:machine:110, Basic Autoclave
gregtech:machine:111, Advanced Autoclave
gregtech:machine:112, Advanced Autoclave II
gregtech:machine:113, Advanced Autoclave III
gregtech:machine:120, Basic Bending Machine
gregtech:machine:121, Advanced Bending Machine
gregtech:machine:122, Advanced Bending Machine II
gregtech:machine:123, Advanced Bending Machine III
gregtech:machine:130, Basic Brewery
gregtech:machine:131, Advanced Brewery
gregtech:machine:132, Advanced Brewery II
gregtech:machine:133, Advanced Brewery III
gregtech:machine:140, Basic Canning Machine
gregtech:machine:141, Advanced Canning Machine
gregtech:machine:142, Advanced Canning Machine II
gregtech:machine:143, Advanced Canning Machine III
gregtech:machine:150, Basic Centrifuge
gregtech:machine:151, Advanced Centrifuge
gregtech:machine:152, Turbo Centrifuge
gregtech:machine:153, Turbo Centrifuge II
gregtech:machine:180, Basic Chemical Bath
gregtech:machine:181, Advanced Chemical Bath
gregtech:machine:182, Advanced Chemical Bath II
gregtech:machine:183, Advanced Chemical Bath III
gregtech:machine:190, Basic Chemical Reactor
gregtech:machine:191, Advanced Chemical Reactor
gregtech:machine:192, Advanced Chemical Reactor II
gregtech:machine:193, Advanced Chemical Reactor III
gregtech:machine:210, Basic Compressor
gregtech:machine:211, Advanced Compressor
gregtech:machine:212, Advanced Compressor II
gregtech:machine:213, Singularity Compressor
gregtech:machine:220, Basic Cutting Machine
gregtech:machine:221, Advanced Cutting Machine
gregtech:machine:222, Advanced Cutting Machine II
gregtech:machine:223, Advanced Cutting Machine III
gregtech:machine:230, Basic Distillery
gregtech:machine:231, Advanced Distillery
gregtech:machine:232, Advanced Distillery II
gregtech:machine:233, Advanced Distillery III
gregtech:machine:240, Basic Electrolyzer
gregtech:machine:241, Advanced Electrolyzer
gregtech:machine:242, Advanced Electrolyzer II
gregtech:machine:243, Molecular Disintegrator E-4908
gregtech:machine:250, Basic Electromagnetic Separator
gregtech:machine:251, Advanced Electromagnetic Separator
gregtech:machine:252, Advanced Electromagnetic Separator II
gregtech:machine:253, Advanced Electromagnetic Separator III
gregtech:machine:260, Basic Extractor
gregtech:machine:261, Advanced Extractor
gregtech:machine:262, Advanced Extractor II
gregtech:machine:263, Vacuum Extractor
gregtech:machine:270, Basic Extruder
gregtech:machine:271, Advanced Extruder
gregtech:machine:272, Advanced Extruder II
gregtech:machine:273, Advanced Extruder III
gregtech:machine:280, Basic Fermenter
gregtech:machine:281, Advanced Fermenter
gregtech:machine:282, Advanced Fermenter II
gregtech:machine:283, Advanced Fermenter III
gregtech:machine:290, Basic Fluid Canner
gregtech:machine:291, Advanced Fluid Canner
gregtech:machine:292, Quick Fluid Canner
gregtech:machine:293, Turbo Fluid Canner
gregtech:machine:300, Basic Fluid Extractor
gregtech:machine:301, Advanced Fluid Extractor
gregtech:machine:302, Advanced Fluid Extractor II
gregtech:machine:303, Advanced Fluid Extractor III
gregtech:machine:310, Basic Fluid Heater
gregtech:machine:311, Advanced Fluid Heater
gregtech:machine:312, Advanced Fluid Heater II
gregtech:machine:313, Advanced Fluid Heater III
gregtech:machine:320, Basic Fluid Solidifier
gregtech:machine:321, Advanced Fluid Solidifier
gregtech:machine:322, Advanced Fluid Solidifier II
gregtech:machine:323, Advanced Fluid Solidifier III
gregtech:machine:330, Basic Forge Hammer
gregtech:machine:331, Advanced Forge Hammer
gregtech:machine:332, Advanced Forge Hammer II
gregtech:machine:333, Advanced Forge Hammer III
gregtech:machine:340, Basic Forming Press
gregtech:machine:341, Advanced Forming Press
gregtech:machine:342, Advanced Forming Press II
gregtech:machine:343, Advanced Forming Press III
gregtech:machine:350, Basic Lathe
gregtech:machine:351, Advanced Lathe
gregtech:machine:352, Advanced Lathe II
gregtech:machine:353, Advanced Lathe III
gregtech:machine:360, Basic Microwave
gregtech:machine:361, Advanced Microwave
gregtech:machine:362, Advanced Microwave II
gregtech:machine:363, Advanced Microwave III
gregtech:machine:370, Basic Mixer
gregtech:machine:371, Advanced Mixer
gregtech:machine:372, Advanced Mixer II
gregtech:machine:373, Advanced Mixer III
gregtech:machine:380, Basic Ore Washing Plant
gregtech:machine:381, Advanced Ore Washing Plant
gregtech:machine:382, Advanced Ore Washing Plant II
gregtech:machine:383, Advanced Ore Washing Plant III
gregtech:machine:390, Basic Packager
gregtech:machine:391, Advanced Packager
gregtech:machine:392, Advanced Packager II
gregtech:machine:393, Advanced Packager III
gregtech:machine:400, Basic Unpackager
gregtech:machine:401, Advanced Unpackager
gregtech:machine:402, Advanced Unpackager II
gregtech:machine:403, Advanced Unpackager III
gregtech:machine:410, Basic Plasma Arc Furnace
gregtech:machine:411, Advanced Plasma Arc Furnace
gregtech:machine:412, Advanced Plasma Arc Furnace II
gregtech:machine:413, Advanced Plasma Arc Furnace III
gregtech:machine:420, Basic Polarizer
gregtech:machine:421, Advanced Polarizer
gregtech:machine:422, Advanced Polarizer II
gregtech:machine:423, Advanced Polarizer III
gregtech:machine:430, Basic Precision Laser Engraver
gregtech:machine:431, Advanced Precision Laser Engraver
gregtech:machine:432, Advanced Precision Laser Engraver II
gregtech:machine:433, Advanced Precision Laser Engraver III
gregtech:machine:450, Basic Sifting Machine
gregtech:machine:451, Advanced Sifting Machine
gregtech:machine:452, Advanced Sifting Machine II
gregtech:machine:453, Advanced Sifting Machine III
gregtech:machine:460, Basic Thermal Centrifuge
gregtech:machine:461, Advanced Thermal Centrifuge
gregtech:machine:462, Advanced Thermal Centrifuge II
gregtech:machine:463, Advanced Thermal Centrifuge III
gregtech:machine:470, Basic Wiremill
gregtech:machine:471, Advanced Wiremill
gregtech:machine:472, Advanced Wiremill II
gregtech:machine:473, Advanced Wiremill III
gregtech:machine:480, Basic Diesel Generator
gregtech:machine:481, Advanced Diesel Generator
gregtech:machine:482, Turbo Diesel Generator
gregtech:machine:485, Basic Steam Turbine
gregtech:machine:486, Advanced Steam Turbine
gregtech:machine:487, Turbo Steam Turbine
gregtech:machine:490, Basic Gas Turbine
gregtech:machine:491, Advanced Gas Turbine
gregtech:machine:492, Turbo Gas Turbine
gregtech:machine:493, Magic Energy Absorber
gregtech:machine:500, ULV Machine Hull
gregtech:machine:501, LV Machine Hull
gregtech:machine:502, MV Machine Hull
gregtech:machine:503, HV Machine Hull
gregtech:machine:504, EV Machine Hull
gregtech:machine:505, IV Machine Hull
gregtech:machine:506, LuV Machine Hull
gregtech:machine:507, ZPM Machine Hull
gregtech:machine:508, UV Machine Hull
gregtech:machine:509, Max Machine Hull
gregtech:machine:510, Primitive Blast Furnace
gregtech:machine:511, Electric Blast Furnace
gregtech:machine:512, Vacuum Freezer
gregtech:machine:513, Implosion Compressor
gregtech:machine:514, Pyrolyse Oven
gregtech:machine:515, Distillation Tower
gregtech:machine:516, Multi Smelter
gregtech:machine:517, Diesel Engine
gregtech:machine:525, Cracker Unit
gregtech:machine:518, Large Steam Turbine
gregtech:machine:519, Large Gas Turbine
gregtech:machine:520, Large Plasma Turbine
gregtech:machine:521, Large Bronze Boiler
gregtech:machine:522, Large Steel Boiler
gregtech:machine:523, Large Titanium Boiler
gregtech:machine:524, Large Tungstensteel Boiler
gregtech:machine:610, Ultra Low Voltage Battery Buffer
gregtech:machine:611, Ultra Low Voltage Battery Buffer
gregtech:machine:612, Ultra Low Voltage Battery Buffer
gregtech:machine:613, Ultra Low Voltage Battery Buffer
gregtech:machine:680, Ultra Low Voltage Battery Charger
gregtech:machine:600, Low Voltage Transformer
gregtech:machine:614, Low Voltage Battery Buffer
gregtech:machine:615, Low Voltage Battery Buffer
gregtech:machine:616, Low Voltage Battery Buffer
gregtech:machine:617, Low Voltage Battery Buffer
gregtech:machine:681, Low Voltage Battery Charger
gregtech:machine:601, Medium Voltage Transformer
gregtech:machine:618, Medium Voltage Battery Buffer
gregtech:machine:619, Medium Voltage Battery Buffer
gregtech:machine:620, Medium Voltage Battery Buffer
gregtech:machine:621, Medium Voltage Battery Buffer
gregtech:machine:682, Medium Voltage Battery Charger
gregtech:machine:602, High Voltage Transformer
gregtech:machine:622, High Voltage Battery Buffer
gregtech:machine:623, High Voltage Battery Buffer
gregtech:machine:624, High Voltage Battery Buffer
gregtech:machine:625, High Voltage Battery Buffer
gregtech:machine:683, High Voltage Battery Charger
gregtech:machine:603, Extreme Voltage Transformer
gregtech:machine:626, Extreme Voltage Battery Buffer
gregtech:machine:627, Extreme Voltage Battery Buffer
gregtech:machine:628, Extreme Voltage Battery Buffer
gregtech:machine:629, Extreme Voltage Battery Buffer
gregtech:machine:684, Extreme Voltage Battery Charger
gregtech:machine:604, Insane Voltage Transformer
gregtech:machine:630, Insane Voltage Battery Buffer
gregtech:machine:631, Insane Voltage Battery Buffer
gregtech:machine:632, Insane Voltage Battery Buffer
gregtech:machine:633, Insane Voltage Battery Buffer
gregtech:machine:685, Insane Voltage Battery Charger
gregtech:machine:605, Ludicrous Voltage Transformer
gregtech:machine:634, Ludicrous Voltage Battery Buffer
gregtech:machine:635, Ludicrous Voltage Battery Buffer
gregtech:machine:636, Ludicrous Voltage Battery Buffer
gregtech:machine:637, Ludicrous Voltage Battery Buffer
gregtech:machine:686, Ludicrous Voltage Battery Charger
gregtech:machine:606, ZPM Voltage Transformer
gregtech:machine:638, ZPM Voltage Battery Buffer
gregtech:machine:639, ZPM Voltage Battery Buffer
gregtech:machine:640, ZPM Voltage Battery Buffer
gregtech:machine:641, ZPM Voltage Battery Buffer
gregtech:machine:687, ZPM Voltage Battery Charger
gregtech:machine:607, Ultimate Voltage Transformer
gregtech:machine:642, Ultimate Voltage Battery Buffer
gregtech:machine:643, Ultimate Voltage Battery Buffer
gregtech:machine:644, Ultimate Voltage Battery Buffer
gregtech:machine:645, Ultimate Voltage Battery Buffer
gregtech:machine:688, Ultimate Voltage Battery Charger
gregtech:machine:608, MAX Voltage Transformer
gregtech:machine:646, MAX Voltage Battery Buffer
gregtech:machine:647, MAX Voltage Battery Buffer
gregtech:machine:648, MAX Voltage Battery Buffer
gregtech:machine:649, MAX Voltage Battery Buffer
gregtech:machine:689, MAX Voltage Battery Charger
gregtech:machine:700, Input Bus (ULV)
gregtech:machine:701, Output Bus (ULV)
